System,School,FRL
Walton County,Youth Middle School,44
Walton County,Atha Road Elementary School,59.86
Walton County,Monroe Area High School,57.63
Walton County,Loganville High School,34.59
Walton County,Sharon Elementary School,33.38
Walton County,Walnut Grove High School,39.06
Walton County,Walnut Grove Elementary School,48.13
Ware County,Ruskin Elementary School,90.14
Ware County,Waycross Middle School,90.15
Ware County,Williams Heights Elementary School,90.08
Ware County,Waresboro Elementary School,90.09
Ware County,Memorial Drive Elementary School,90.19
Ware County,Wacona Elementary School,90.03
Ware County,Ware County Middle School,90.07
Ware County,Ware County High School,90.07
Ware County,Center Elementary School,90
Warren County,Freeman Elementary School,
Warren County,Warren County Middle School,
Warren County,Warren County High School,
Washington County,Ridge Road Elementary School,92.57
Washington County,Washington County High School,71.8
Washington County,T. J. Elder Middle School,71.76
Washington County,Ridge Road Primary School,92.54
Wayne County,Arthur Williams Middle School,72.75
Wayne County,Martha Rawls Smith Elementary School,82.01
Wayne County,Martha Puckett Middle School,65.16
Wayne County,Odum Elementary School,58.96
Wayne County,Jesup Elementary School,75.45
Wayne County,Wayne County High School,59.7
Wayne County,Bacon Elementary School,76.34
Wayne County,Screven Elementary School,70.74
Webster County,Webster County Elementary/Middle School,58.89
Webster County,Webster County High School,58.1
Wheeler County,Wheeler County High School,
Wheeler County,Wheeler County Elementary School,
White County,White County Middle School,58.22
White County,Mossy Creek Elementary School,66.81
White County,Jack P Nix Elementary School,63.53
White County,White County 9th Grade Academy,53.21
White County,Tesnatee Gap Elementary (Old White Co. Intermediate),62.56
White County,Mount Yonah Elementary School,50.74
White County,White County High School,48.39
Whitfield County,Eastside Elementary School,
Whitfield County,Dug Gap Elementary School,79.3
Whitfield County,Southeast Whitfield County High School,74.87
Whitfield County,Valley Point Elementary School,82.89
Whitfield County,Antioch Elementary School,91.85
Whitfield County,Cohutta Elementary School,66.78
Whitfield County,North Whitfield Middle School,71.58
Whitfield County,Coahulla Creek High School,61.21
Whitfield County,Varnell Elementary School,66.36
Whitfield County,Dawnville Elementary School,87.4
Whitfield County,Northwest Whitfield County High School,50.72
Whitfield County,Tunnel Hill Elementary School,56.89
Whitfield County,Westside Middle School,50.43
Whitfield County,Valley Point Middle School,80.73
Whitfield County,Pleasant Grove Elementary School,83.09
Whitfield County,New Hope Middle School,65.3
Whitfield County,Beaverdale Elementary School,62.17
Whitfield County,Eastbrook Middle School,92.08
Whitfield County,Cedar Ridge Elementary,90.31
Whitfield County,Phoenix High School,79.78
Whitfield County,New Hope Elementary School,59.49
Whitfield County,Westside Elementary School,57.74
Wilcox County,Wilcox County High School,93.55
Wilcox County,Wilcox County Elementary School,93.98
Wilcox County,Wilcox County Middle School,93.84
Wilkes County,Washington-Wilkes Comprehensive High School,93.82
Wilkes County,Washington-Wilkes Middle School,93.75
Wilkes County,Washington-Wilkes Primary School,93.84
Wilkes County,Washington-Wilkes Elementary School,93.72
Wilkinson County,Wilkinson County Primary School,94.33
Wilkinson County,Wilkinson County High School,94.3
Wilkinson County,Wilkinson County Middle School,94.52
Wilkinson County,Wilkinson County Elementary School,94.54
Worth County,Worth County Primary School,92.54
Worth County,Worth County High School,92.62
Worth County,Worth County Middle School,92.63
Worth County,Worth County Elementary School,92.56
